,id,predicted_value
0,0,1
1,1,0
2,2,1
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,1
9,9,1
10,10,0
11,11,0
12,12,0
13,13,0
14,14,0
15,15,1
16,16,0
17,17,0
18,18,0
19,19,0
20,20,0
21,21,1
22,22,0
23,23,1
24,24,1
25,25,0
26,26,0
27,27,0
28,28,0
29,29,0
30,30,0
31,31,0
32,32,0
33,33,0
34,34,0
35,35,0
36,36,0
37,37,0
38,38,0
39,39,1
40,40,0
41,41,1
42,42,0
43,43,1
44,44,0
45,45,0
46,46,0
47,47,0
48,48,1
49,49,0
50,50,0
51,51,1
52,52,0
53,53,0
54,54,0
55,55,1
56,56,1
57,57,1
58,58,0
59,59,1
60,60,0
61,61,1
62,62,1
63,63,0
64,64,1
65,65,1
66,66,0
67,67,1
68,68,0
69,69,0
70,70,1
71,71,0
72,72,0
73,73,0
74,74,0
75,75,0
76,76,0
77,77,0
78,78,0
79,79,0
80,80,0
81,81,0
82,82,0
83,83,0
84,84,0
85,85,0
86,86,0
87,87,0
88,88,1
89,89,0
90,90,0
91,91,0
92,92,0
93,93,0
94,94,1
95,95,0
96,96,0
97,97,0
98,98,0
99,99,1
100,100,1
101,101,1
102,102,1
103,103,0
104,104,1
105,105,0
106,106,0
107,107,0
108,108,1
109,109,0
110,110,0
111,111,0
112,112,0
113,113,0
114,114,1
115,115,0
116,116,1
117,117,0
118,118,0
119,119,0
120,120,1
121,121,1
122,122,0
123,123,1
124,124,0
125,125,0
126,126,0
127,127,0
128,128,1
129,129,0
130,130,0
131,131,1
132,132,1
133,133,0
134,134,1
135,135,0
136,136,0
137,137,0
138,138,1
139,139,1
140,140,0
141,141,0
142,142,0
143,143,1
144,144,0
145,145,0
146,146,0
147,147,1
148,148,0
149,149,0
150,150,1
151,151,0
152,152,0
153,153,0
154,154,0
155,155,1
156,156,1
157,157,1
158,158,0
159,159,0
160,160,1
161,161,0
162,162,0
163,163,0
164,164,0
165,165,1
166,166,1
167,167,0
168,168,0
169,169,0
170,170,1
171,171,1
172,172,0
173,173,0
174,174,0
175,175,0
176,176,0
177,177,0
178,178,0
179,179,0
180,180,0
181,181,0
182,182,0
183,183,0
184,184,1
185,185,0
186,186,0
187,187,1
188,188,0
189,189,1
190,190,0
191,191,1
192,192,1
193,193,0
194,194,0
195,195,1
196,196,0
197,197,1
198,198,1
199,199,1
200,200,1
201,201,1
202,202,1
203,203,0
204,204,1
205,205,1
206,206,0
207,207,1
208,208,0
209,209,0
210,210,0
211,211,0
212,212,0
213,213,0
214,214,1
215,215,0
216,216,0
217,217,0
218,218,0
219,219,0
220,220,0
221,221,1
222,222,1
223,223,0
224,224,0
225,225,1
226,226,1
227,227,0
228,228,0
229,229,0
230,230,1
231,231,0
232,232,0
233,233,1
234,234,0
235,235,0
236,236,0
237,237,0
238,238,1
239,239,0
240,240,0
241,241,1
242,242,0
243,243,0
244,244,0
245,245,0
246,246,1
247,247,0
248,248,0
249,249,1
250,250,0
251,251,0
252,252,0
253,253,1
254,254,0
255,255,0
256,256,1
257,257,0
258,258,1
259,259,0
260,260,0
261,261,0
262,262,1
263,263,1
264,264,0
265,265,0
266,266,1
267,267,0
268,268,0
269,269,0
270,270,0
271,271,0
272,272,1
273,273,0
274,274,1
275,275,0
276,276,1
277,277,0
278,278,0
279,279,1
280,280,0
281,281,0
282,282,1
283,283,0
284,284,0
285,285,0
286,286,0
287,287,1
288,288,0
289,289,1
290,290,0
291,291,0
292,292,1
293,293,0
294,294,1
295,295,0
296,296,1
297,297,0
298,298,0
299,299,0
300,300,0
301,301,0
302,302,0
303,303,1
304,304,0
305,305,1
306,306,0
307,307,1
308,308,1
309,309,0
310,310,0
311,311,0
312,312,0
313,313,0
314,314,0
315,315,0
316,316,0
317,317,0
318,318,1
319,319,1
320,320,1
321,321,0
322,322,0
323,323,0
324,324,0
325,325,0
326,326,0
327,327,0
328,328,0
329,329,0
330,330,0
331,331,0
332,332,0
333,333,1
334,334,1
335,335,0
336,336,0
337,337,0
338,338,1
339,339,0
340,340,1
341,341,0
342,342,0
343,343,1
344,344,0
345,345,0
346,346,1
347,347,0
348,348,1
349,349,0
350,350,0
351,351,0
352,352,0
353,353,1
354,354,0
355,355,0
356,356,0
357,357,0
358,358,0
359,359,1
360,360,0
361,361,1
362,362,1
363,363,0
364,364,1
365,365,0
366,366,0
367,367,0
368,368,0
369,369,1
370,370,0
371,371,1
372,372,0
373,373,1
374,374,0
375,375,0
376,376,1
377,377,1
378,378,1
379,379,1
380,380,0
381,381,1
382,382,0
383,383,0
384,384,0
385,385,0
386,386,0
387,387,1
388,388,0
389,389,0
390,390,1
391,391,0
392,392,0
393,393,0
394,394,0
395,395,1
396,396,1
397,397,0
398,398,0
399,399,0
400,400,1
401,401,0
